comparison_id,dataset,null_task,feature_set,K,metric,model_a,model_b,median_delta,mean_delta,ci_lower,ci_upper,effect_size_name,effect_size,p_raw,p_adjusted,correction_method,test_name,n_splits,interpretation_flag
qkernel_zz_vs_best_classical_balanced_accuracy,demo_primary,time_shift,raw_topk,4,balanced_accuracy,qkernel_zz,best_classical,-0.0833333333333334,-0.0833333333333334,-0.1666666666666668,0.0,rank_biserial,-1.0,1.0,1.0,Holm,Wilcoxon signed-rank,2,comparable_or_mixed
qkernel_zz_vs_best_classical_balanced_accuracy,demo_primary,time_shift,raw_topk,6,balanced_accuracy,qkernel_zz,best_classical,-0.20833333333333331,-0.20833333333333331,-0.33333333333333337,-0.08333333333333326,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_balanced_accuracy,demo_primary,time_shift,raw_topk,8,balanced_accuracy,qkernel_zz,best_classical,-0.20833333333333331,-0.20833333333333331,-0.33333333333333326,-0.08333333333333337,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_auc,demo_primary,time_shift,raw_topk,4,auc,qkernel_zz,best_classical,-0.13888888888888884,-0.13888888888888884,-0.24999999999999994,-0.027777777777777735,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_auc,demo_primary,time_shift,raw_topk,6,auc,qkernel_zz,best_classical,-0.43055555555555547,-0.43055555555555547,-0.5277777777777777,-0.33333333333333326,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_auc,demo_primary,time_shift,raw_topk,8,auc,qkernel_zz,best_classical,-0.25,-0.25,-0.38888888888888884,-0.11111111111111116,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_f1,demo_primary,time_shift,raw_topk,4,f1,qkernel_zz,best_classical,-0.04700854700854701,-0.04700854700854701,-0.1111111111111111,0.01709401709401709,rank_biserial,-0.3333333333333333,1.0,1.0,Holm,Wilcoxon signed-rank,2,comparable_or_mixed
qkernel_zz_vs_best_classical_f1,demo_primary,time_shift,raw_topk,6,f1,qkernel_zz,best_classical,-0.21190476190476187,-0.21190476190476187,-0.3571428571428571,-0.06666666666666665,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
qkernel_zz_vs_best_classical_f1,demo_primary,time_shift,raw_topk,8,f1,qkernel_zz,best_classical,-0.22619047619047616,-0.22619047619047616,-0.2857142857142857,-0.16666666666666663,rank_biserial,-1.0,0.5,1.0,Holm,Wilcoxon signed-rank,2,negative
