dataset,null_task,feature_set,K,metric,model_a,model_b,median_delta,ci_lower,ci_upper,effect_size,p_adjusted,interpretation_flag
demo_primary,time_shift,raw_topk,4,balanced_accuracy,qkernel_zz,best_classical,-0.0833333333333334,-0.1666666666666668,0.0,-1.0,1.0,comparable_or_mixed
demo_primary,time_shift,raw_topk,6,balanced_accuracy,qkernel_zz,best_classical,-0.2083333333333333,-0.3333333333333333,-0.0833333333333332,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,8,balanced_accuracy,qkernel_zz,best_classical,-0.2083333333333333,-0.3333333333333332,-0.0833333333333333,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,4,auc,qkernel_zz,best_classical,-0.1388888888888888,-0.2499999999999999,-0.0277777777777777,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,6,auc,qkernel_zz,best_classical,-0.4305555555555554,-0.5277777777777777,-0.3333333333333332,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,8,auc,qkernel_zz,best_classical,-0.25,-0.3888888888888888,-0.1111111111111111,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,4,f1,qkernel_zz,best_classical,-0.047008547008547,-0.1111111111111111,0.017094017094017,-0.3333333333333333,1.0,comparable_or_mixed
demo_primary,time_shift,raw_topk,6,f1,qkernel_zz,best_classical,-0.2119047619047618,-0.3571428571428571,-0.0666666666666666,-1.0,1.0,negative
demo_primary,time_shift,raw_topk,8,f1,qkernel_zz,best_classical,-0.2261904761904761,-0.2857142857142857,-0.1666666666666666,-1.0,1.0,negative
